run_id,evaluator_version,prompt_version,scenario_id,stage,task_success,continuity,compliance,token_efficiency,borrower_experience,total_score,outcome,violations
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S01_cooperative_plan,resolution,1.0,1.0,1.0,1.0,0.8,0.98,deal_agreed,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S01_cooperative_plan,final_notice,1.0,1.0,1.0,1.0,0.8,0.98,resolved,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S02_combative_no_deal,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S02_combative_no_deal,resolution,1.0,1.0,1.0,1.0,0.8,0.98,no_deal,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S02_combative_no_deal,final_notice,1.0,1.0,1.0,1.0,0.8,0.98,flag_for_review,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S03_evasive_settlement,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S03_evasive_settlement,resolution,1.0,1.0,1.0,1.0,0.8,0.98,deal_agreed,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S03_evasive_settlement,final_notice,1.0,1.0,1.0,1.0,0.8,0.98,resolved,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S04_confused_plan,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S04_confused_plan,resolution,1.0,1.0,1.0,1.0,0.8,0.98,deal_agreed,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S04_confused_plan,final_notice,1.0,1.0,1.0,1.0,0.8,0.98,resolved,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S05_distressed_hardship,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S05_distressed_hardship,resolution,1.0,1.0,1.0,1.0,0.8,0.98,hardship_referral,
candidate_v2_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,candidate_v2,S05_distressed_hardship,final_notice,1.0,1.0,1.0,1.0,0.8,0.98,resolved,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S01_cooperative_plan,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S01_cooperative_plan,resolution,0.0,0.5,0.0,1.0,0.8,0.0,compliance_failed,no_misleading_terms;no_misleading_terms
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S01_cooperative_plan,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,resolved,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S02_combative_no_deal,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S02_combative_no_deal,resolution,0.0,0.5,0.0,1.0,0.8,0.0,compliance_failed,no_misleading_terms;no_misleading_terms
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S02_combative_no_deal,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,flag_for_review,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S03_evasive_settlement,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S03_evasive_settlement,resolution,0.0,0.5,0.0,1.0,0.8,0.0,compliance_failed,no_misleading_terms;no_misleading_terms
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S03_evasive_settlement,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,resolved,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S04_confused_plan,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S04_confused_plan,resolution,0.0,0.5,0.0,1.0,0.8,0.0,compliance_failed,no_misleading_terms;no_misleading_terms
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S04_confused_plan,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,resolved,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S05_distressed_hardship,assessment,1.0,1.0,1.0,1.0,0.8,0.98,situation_assessed,
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S05_distressed_hardship,resolution,0.0,0.5,0.0,1.0,0.1,0.0,compliance_failed,no_misleading_terms;no_misleading_terms
aggressive_candidate_eval_v2_compliance_gated_2026-04-29T06:32:27+00:00,eval_v2_compliance_gated,aggressive_candidate,S05_distressed_hardship,final_notice,1.0,0.5,1.0,1.0,0.8,0.88,resolved,
